label,grade
student_1,8.55
student_2,7.16
student_3,10.0
student_4,
student_5,5.4
student_6,9.0
student_7,
student_8,5.8
student_9,4.8
student_10,6.16
student_11,
student_12,5.2
student_13,6.9
student_14,4.41
student_15,8.55
student_16,
student_17,5.7
student_18,
student_19,
student_20,
student_21,9.75
student_22,7.36
student_23,9.45
student_24,10.0
student_25,5.7
student_26,6.92
student_27,5.01
student_28,4.95
student_29,7.9
student_30,
student_31,7.56
student_32,8.21
student_33,9.5
student_34,6.09
student_35,5.37
student_36,7.44
student_37,5.25
student_38,6.36
student_39,6.92
student_40,7.2
student_41,8.2
student_42,8.5
student_43,5.77
student_44,8.5
student_45,5.0
student_46,2.96
student_47,5.19
student_48,
student_49,8.9
student_50,
student_57,7.27
student_58,6.33
student_59,5.43
student_60,6.0
student_61,
student_62,9.4
student_63,5.08
student_64,5.84
student_65,9.35
student_66,0.4
student_67,7.0
student_68,8.74
student_69,8.7
student_70,7.3
student_71,9.55
student_72,9.6
student_73,
17116809d7ef48d8bc9bce8d6ec916a7,7.04
d665e30485dc24c30e8fa0553b6eab2a,7.04
a197b123db2a51082f7b59aba2a2f3ff,7.04
4826eef0698cddc1bd8bc60169e7db92,6.92
cb766683dc798f4cb52790cf6117403f,6.52
d66ee0a74eb226577c0b8eb9096051b6,6.45
04ff28d762b8653fad7f29fbcf45026a,6.53
5387efd7714a07c1e3e38c7ddcddde0f,6.9
5c1f9db84b3eb5da9132b47a00bf7aea,6.95
de17822e4f2ed31b1b81f7499b360137,6.5
d5a40a1fb0fee9ef09f96253c974d557,7.52
ebea805721b98eb6cbc7b8cf815df89f,6.95
96b3e231d4eedcb4a4dee7b620c7e433,6.49
6285f4f54e3ba2669d18e55a65f8b7a4,7.53
971423f2d60e72b7d2ee8969560759a4,6.94
9c2582feb304c6b98f6ccd8de95e9f57,6.47
1141335eeeb835f36cce1b084a659b16,7.42
7f1c14ec1b40f579f4e1d3103b0a6d8d,6.92
5c251b41c7600ff23c6803c1eab277e0,6.47
88d45be0d460b978d5009020af132a60,7.38
ce62fb5b4d9755c30874d704fa1b4e32,6.88
5ae718ddfaa1d5e4eb951eaced9817e2,6.45
bb9fa8b5e89cf4a5f0f2fe78ba1be997,7.38
be02007eebad342a09956740adb1cb89,6.91
26dd218772fa8199bff1887feece8cdd,6.46
1e22841fbb42dd80ce2e526bdc2dedcd,7.36
9ad38421cfe846fb345ca88ace1390f6,6.93
b3b5d7548a44087b464e35aef93449d3,6.45
1d08694640ae0acfc7612ca329436222,7.44
6407500be0a5830010d79d75e64f708d,6.93
d415191dfdd3302f3853f7741935e48e,6.45
7f2fbac95f116ff25054fc69ad52c889,7.3
c428fd65012f34fc1f9e0375931e0851,6.82
fdc2761c3850991b196e8dd55a694e34,6.38
4c7eb61693e92b2fbd49883ff071375b,7.39
861b9e51f81c25a25b3ce7c5fd1acf83,6.93
3d1a2af8cf55bf5a52282a00604068d8,6.46
e1d2e88293d8de6186ff479b2f17c0dc,7.34
bc0641299d8cada3e34c4664171f85c0,6.9
daf92ec19a33e441ac02ea43dc21b170,6.47
53ae47262f1733250dfeda6b01a6c92f,7.34
a902388aff81c55691c2b8e1951d76de,6.9
ce7477b6520ba2d09848691ba83896cd,6.47
1533802943d8740ecda0d7f28fe63a11,7.34
1adf0ad38bdbb089b1dd99ac21f3ee3b,6.9
2b54d08694efa647306eceeb1cf4fc35,6.47
52855b918a25dee34949646ef5b8aea4,7.34
7c6b9391987ddf7e66c4234a0f98d52d,6.9
45817f746c022a54a2081ff115cff3a0,6.47
